node_id,node_attr,node_uri
346,model,http://orkg.org/orkg/class/Model
26311,has model,http://orkg.org/orkg/predicate/HAS_MODEL
52733,has source code,http://orkg.org/orkg/predicate/HAS_SOURCE_CODE
63664,contribution 	depth ddppo,http://orkg.org/orkg/resource/R131294
200736,depth ddppo,http://orkg.org/orkg/resource/R123481

src,edge_attr,dst,edge_uri
111,Has Datasets,5274,http://orkg.org/orkg/predicate/P41003
26311,type,226,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
63664,has model,200736,http://orkg.org/orkg/predicate/HAS_MODEL

0,contribution,http://orkg.org/orkg/resource/R138526
3,contribution 1,http://orkg.org/orkg/resource/R162491
6,resource,http://orkg.org/orkg/class/Resource
13,false,FALSE
34,component for template r286081,http://orkg.org/orkg/resource/R287728
43,computer science,http://orkg.org/orkg/resource/wikidata:Q21198
44,computer sciences,http://orkg.org/orkg/resource/R132
45,no,no
50,predictors of regional establishment success and spread of introduced non-indigenous vertebrates,http://orkg.org/orkg/resource/R53158
61,,
67,component for template r277000,http://orkg.org/orkg/resource/R279202
102,researchgraph,http://orkg.org/orkg/resource/R50013
103,t,T
111,contribution 2,http://orkg.org/orkg/resource/R142712
112,research data,http://orkg.org/orkg/resource/R193485
121,body-mass index and risk of advanced chronic kidney disease: prospective analyses from a primary care cohort of 1.4 million adults in england,http://orkg.org/orkg/resource/R171330
138,2011,2011
166,empirical research,http://orkg.org/orkg/resource/R215712
175,results,http://orkg.org/orkg/resource/R112226
177,venue,http://orkg.org/orkg/class/Venue
180,pyphi: a toolbox for integrated information theory,http://orkg.org/orkg/resource/R168735
186,contribution 5,http://orkg.org/orkg/resource/R225237
196,research questions in re contribution,http://orkg.org/orkg/resource/R195128
201,description,Description
202,component for template r166722,http://orkg.org/orkg/resource/R188386
208,round 2 toughtab_wiki,http://orkg.org/orkg/resource/R286547
209,tough tables semtab 2022,http://orkg.org/orkg/resource/R286471
210,f,F
226,predicate,http://orkg.org/orkg/class/Predicate
238,,
241,2012,2012
245,2010,2010
309,the neighbourhood built environment and trajectories of depression symptom episodes in adults: a latent class growth analysis,http://orkg.org/orkg/resource/R170997
310,2015,2015
311,analysis,http://orkg.org/orkg/resource/R280446
372,determinants of salivary cotinine among smokeless tobacco users: a cross-sectional survey in bangladesh,http://orkg.org/orkg/resource/R169812
388,user feedback classification,http://orkg.org/orkg/resource/R108343
410,estimating genetic kin relationships in prehistoric populations,http://orkg.org/orkg/resource/R170112
444,lubm-q3 2-hop,http://orkg.org/orkg/resource/R191667
451,lubm-q11 1-hop,http://orkg.org/orkg/resource/R191690
452,1-hop guarantee,http://orkg.org/orkg/resource/R191432
460,contribution 4,http://orkg.org/orkg/resource/R242068
483,component for template r280212,http://orkg.org/orkg/resource/R285018
485,2021,2021
497,sb b & he-like,http://orkg.org/orkg/resource/R144304
525,research on the construction and application of breast cancer-specific database system based on full data lifecycle,http://orkg.org/orkg/resource/R283493
529,contribution 8,http://orkg.org/orkg/resource/R210072
537,drivers and implications of scientific open access publishing,http://orkg.org/orkg/resource/R164956
538,"oecd science, technology and industry policy papers",http://orkg.org/orkg/resource/R164957
543,deleted,http://orkg.org/orkg/resource/R36056
548,component for template r279223,http://orkg.org/orkg/resource/R280390
585,acute lymphoblastic leukemia detection from microscopic images using weighted ensemble of convolutional neural networks,http://orkg.org/orkg/resource/R135546
593,method,http://orkg.org/orkg/class/Method
595,secondary research,http://orkg.org/orkg/resource/R220309
601,"report of a series of 82 cases of buruli ulcer from nigeria treated in benin, from 2006 to 2016",http://orkg.org/orkg/resource/R168924
611,result,http://orkg.org/orkg/resource/wikidata:Q2995644
615,a,A
619,contribution template,http://orkg.org/orkg/class/ContributionTemplate
630,large-scale study of curiosity-driven learning,http://orkg.org/orkg/resource/R134333
668,2020,2020
672,2000,2000
765,a multi-level model of emerging technology: an empirical study of the evolution of biotechnology from 1976 to 2003,http://orkg.org/orkg/resource/R171627
789,querying knowledge graphs in natural language,http://orkg.org/orkg/resource/R223149
824,dengue sms surveillance project in the philippines,http://orkg.org/orkg/resource/R145113
891,2017,2017
904,contribution 3,http://orkg.org/orkg/resource/R57859
931,rdoc task at bionlp-ost 2019,http://orkg.org/orkg/resource/R141018
951,metric,http://orkg.org/orkg/class/Metric
965,early warning epidemic surveillance in the pacific island nations: an evaluation of the pacific syndromic surveillance system,http://orkg.org/orkg/resource/R145427
980,automatic construction of knowledge graphs from text and structured data: a preliminary literature review,http://orkg.org/orkg/resource/R215426
996,2014,2014
1006,2005,2005
1021,–,http://orkg.org/orkg/resource/R30827
1036,data collection,http://orkg.org/orkg/predicate/P37308
1077,"single transcranial direct current stimulation in schizophrenia: randomized, cross-over study of neurocognition, social cognition, erps, and side effects",http://orkg.org/orkg/resource/R171625
1088,sensors,http://orkg.org/orkg/resource/R201892
1109,component for template r107801,http://orkg.org/orkg/resource/R221227
1120,implicit learning deficit in children with duchenne muscular dystrophy: evidence for a cerebellar cognitive impairment?,http://orkg.org/orkg/resource/R227915
1145,component for template r138077,http://orkg.org/orkg/resource/R155832
1156,using automated medical records for rapid identification of illness syndromes (syndromic surveillance): the example of lower respiratory infection,http://orkg.org/orkg/resource/R145107
1181,contribution 6,http://orkg.org/orkg/resource/R219038
1188,automatic surveillance,http://orkg.org/orkg/resource/R146479
1217,true,true
1240,2009,2009
1245,2001,2001
1300,wham: identifying structural variants of biological consequence,http://orkg.org/orkg/resource/R168599
1309,pyam: analysis and visualisation of integrated assessment and macro-energy scenarios,http://orkg.org/orkg/resource/R213557
1317,curl: contrastive unsupervised representations for reinforcement learning,http://orkg.org/orkg/resource/R131170
1353,dual script e2e framework for multilingual and code-switching asr,http://orkg.org/orkg/resource/R197078
1377,2013,2013
1379,double trouble: does co-morbid chronic somatic illness increase risk for recurrence in depression? a systematic review,http://orkg.org/orkg/resource/R169241
1420,2003,2003
1425, d,mmol C / m2 / d
1438,world food atlas project,http://orkg.org/orkg/resource/R217503
1464,information extraction over structured data: question answering with freebase,http://orkg.org/orkg/resource/R223088
1484,2022,2022
1505,visual system,http://orkg.org/orkg/resource/R172581
1506,wisard,http://orkg.org/orkg/resource/R162686
1539,medicine,http://orkg.org/orkg/resource/R136133
1596,"identification of tasks, datasets, evaluation metrics, and numeric scores for scientific leaderboards construction",http://orkg.org/orkg/resource/R146872
1606,childhood adversities and distress - the role of resilience in a representative sample,http://orkg.org/orkg/resource/R171335
1623,uses of electronic health records for public health surveillance to advance public health,http://orkg.org/orkg/resource/R150261
1655,2016,2016
1680,towards diverse and natural scene-aware 3d human motion synthesis,http://orkg.org/orkg/resource/R193171
1695,comparison draft,http://orkg.org/orkg/class/ComparisonDraft
1699,social cognitive role of schizophrenia candidate gene gabrb2,http://orkg.org/orkg/resource/R170597
1700,journal.pone.0062322,10.1371/journal.pone.0062322
1798,dopamine d3 receptor mediates preadolescent stress-induced adult psychiatric disorders,http://orkg.org/orkg/resource/R171051
1840,cylinder-type fiber-optic vernier probe based on cascaded fabry–perot interferometers with a controlled fsr ratio,http://orkg.org/orkg/resource/R148172
1851,automated surveillance of clostridium difficile infections using biosense,http://orkg.org/orkg/resource/R145082
1906,paper type,http://orkg.org/orkg/predicate/P41847
1916,2018,2018
1968,a comparison of scientific publications on the state-of-the-art of empirical research in requirements engineering and software engineering,http://orkg.org/orkg/resource/R216313
2000,contribution 	dueling dqn,http://orkg.org/orkg/resource/R132383
2057,smart city platform enabling digital twin ,http://orkg.org/orkg/resource/R159447
2137,java,http://orkg.org/orkg/resource/R111469
2156,end-to-end neural coreference resolution,http://orkg.org/orkg/resource/R145803
2179,2008,2008
2251,text classification,http://orkg.org/orkg/resource/R217149
2279,yes,http://orkg.org/orkg/resource/R74302
2282,prevalence of circadian rhythm sleep-wake disorders and associated factors in euthymic patients with bipolar disorder,http://orkg.org/orkg/resource/R169803
2301,phrase-based & neural unsupervised machine translation,http://orkg.org/orkg/resource/R129673
2335,physics,http://orkg.org/orkg/resource/R173
2339,nitrous oxide in the arabian sea,http://orkg.org/orkg/resource/R160138
2343,feo,http://orkg.org/orkg/resource/R217367
2362,a comparison of scent marking between a monogamous and promiscuous species of peromyscus: pair bonded males do not advertise to novel females,http://orkg.org/orkg/resource/R170439
2376,technology,http://orkg.org/orkg/class/C20022
2386,32,32
2392,stress marker signatures in lesion mimic single and double mutants identify a crucial leaf age-dependent salicylic acid related defense signal,http://orkg.org/orkg/resource/R169904
2409,in silico screening based on predictive algorithms as a design tool for exon skipping oligonucleotides in duchenne muscular dystrophy,http://orkg.org/orkg/resource/R250220
2466,2006,2006
2474,computational requirements,http://orkg.org/orkg/resource/R135385
2511,researchfield,http://orkg.org/orkg/class/ResearchField
2533,integration,http://orkg.org/orkg/resource/R218629
2540,"syndromic surveillance of emergency department visits for acute adverse effects of marijuana, tri-county health department, colorado, 2016-2017",http://orkg.org/orkg/resource/R145364
2628,automated detection of infectious disease outbreaks in hospitals: a retrospective cohort study,http://orkg.org/orkg/resource/R146235
2647,study,http://orkg.org/orkg/resource/R195899
2682,theory,http://orkg.org/orkg/resource/R163767
2710,research problem,http://orkg.org/orkg/predicate/P32
2902,mathematics,http://orkg.org/orkg/resource/R156
2923,"first return, then explore",http://orkg.org/orkg/resource/R134264
2969,roberta: a robustly optimized bert pretraining approach,http://orkg.org/orkg/resource/R197288
3209,transient cerebral ischemia promotes brain mitochondrial dysfunction and exacerbates cognitive impairments in young 5xfad mice,http://orkg.org/orkg/resource/R169651
3288,sea ice,http://orkg.org/orkg/resource/R23382
3290,iso-food ontology: a formal representation of the knowledge within the domain of isotopes for food science.,http://orkg.org/orkg/resource/R198381
3295,"an assessment of information exchange practices, challenges, and opportunities to support us disease surveillance in 3 states",http://orkg.org/orkg/resource/R146611
3301,context,http://orkg.org/orkg/resource/R191486
3314,dnfcs,http://orkg.org/orkg/resource/R217931
3327,routine outcome monitoring and clinical decision-making in forensic psychiatry based on the instrument for forensic treatment evaluation,http://orkg.org/orkg/resource/R171213
3332,question answering system,http://orkg.org/orkg/resource/R217556
3333,large-scale semantic parsing via schema matching and lexicon extension,http://orkg.org/orkg/resource/R147992
3367,audio-visual instance discrimination with cross-modal agreement,http://orkg.org/orkg/resource/R130082
3368,2004.12943v3.pdf,https://arxiv.org/abs/2004.12943v3.pdf
3389,-,-
3393,"
",http://orkg.org/orkg/resource/R195981
3512,2019,2019
3515,component for template r163149,http://orkg.org/orkg/resource/R163157
3528,cross-lingual name tagging and linking for 282 languages,http://orkg.org/orkg/resource/R163190
3561,water ontology,http://orkg.org/orkg/resource/R216095
3577,cleartk 2.0: design patterns for machine learning in uima,http://orkg.org/orkg/resource/R162898
3581,scholarly article method section,http://orkg.org/orkg/resource/R164016
3641,reference publication,http://orkg.org/orkg/predicate/P49053
3667,short text classification,http://orkg.org/orkg/resource/R219320
3758,model-free episodic control with state aggregation,http://orkg.org/orkg/resource/R134238
3850,yes also systematically,yes also systematically
3854,overview of the mediqa 2021 shared task on summarization in the medical domain,http://orkg.org/orkg/resource/R140992
3927,contribution 	san (ensemble model),http://orkg.org/orkg/resource/R130262
3974,nanopublications,http://orkg.org/orkg/resource/R8358
3991,integrating oer in the design of educational material: blended learning and linked-open-educational-resources-data approach,http://orkg.org/orkg/resource/R74422
3996,geography,http://orkg.org/orkg/resource/R313
4010,count-based exploration in feature space for reinforcement learning,http://orkg.org/orkg/resource/R134360
4016,data analysis,http://orkg.org/orkg/predicate/P15124
4220,validation research,validation research
4502,atmosphere,http://orkg.org/orkg/resource/R23473
4510,activity theory,Activity theory
